COUNTER, AF3, F7, F3, FC5, T7, P7, O1, O2, P8, T8, FC6, F4, F8, AF4, GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
66.000000,4288.717949,0.000000,0.000000,0.000000,4810.769231,0.000000,4384.102564,0.000000,0.000000,4275.384615,0.000000,0.000000,0.000000,4274.358974,8264.000000,8324.000000,14.773519,0.000000,0.000000,0.000000,0.000000,
67.000000,4268.717949,0.000000,0.000000,0.000000,4798.974359,0.000000,4389.230769,0.000000,0.000000,4281.025641,0.000000,0.000000,0.000000,4264.102564,8263.000000,8317.000000,14.781335,0.000000,0.000000,0.000000,0.000000,
68.000000,4280.000000,0.000000,0.000000,0.000000,4778.974359,0.000000,4387.692308,0.000000,0.000000,4284.102564,0.000000,0.000000,0.000000,4275.384615,8262.000000,8307.000000,14.789151,0.000000,0.000000,0.000000,0.000000,
69.000000,4289.230769,0.000000,0.000000,0.000000,4791.794872,0.000000,4392.307692,0.000000,0.000000,4270.769231,0.000000,0.000000,0.000000,4277.435897,8261.000000,8297.000000,14.796967,0.000000,0.000000,0.000000,0.000000,
70.000000,4266.666667,0.000000,0.000000,0.000000,4801.538462,0.000000,4372.307692,0.000000,0.000000,4251.282051,0.000000,0.000000,0.000000,4255.897436,8257.000000,8283.000000,14.804783,0.000000,0.000000,0.000000,0.000000,
71.000000,4246.153846,0.000000,0.000000,0.000000,4792.820513,0.000000,4371.282051,0.000000,0.000000,4256.410256,0.000000,0.000000,0.000000,4242.051282,8260.000000,8271.000000,14.812599,0.000000,0.000000,0.000000,0.000000,
72.000000,4246.666667,0.000000,0.000000,0.000000,4793.846154,0.000000,4376.410256,0.000000,0.000000,4274.871795,0.000000,0.000000,0.000000,4249.743590,8249.000000,8270.000000,14.820416,0.000000,0.000000,0.000000,0.000000,
73.000000,4238.974359,0.000000,0.000000,0.000000,4805.641026,0.000000,4380.000000,0.000000,0.000000,4262.051282,0.000000,0.000000,0.000000,4249.230769,8246.000000,8263.000000,14.828232,0.000000,0.000000,0.000000,0.000000,
74.000000,4253.846154,0.000000,0.000000,0.000000,4808.205128,0.000000,4375.384615,0.000000,0.000000,4261.025641,0.000000,0.000000,0.000000,4264.615385,8234.000000,8247.000000,14.836048,0.000000,0.000000,0.000000,0.000000,
75.000000,4275.384615,0.000000,0.000000,0.000000,4795.897436,0.000000,4381.538462,0.000000,0.000000,4286.666667,0.000000,0.000000,0.000000,4281.025641,8217.000000,8240.000000,14.843864,0.000000,0.000000,0.000000,0.000000,
76.000000,4273.846154,0.000000,0.000000,0.000000,4790.256410,0.000000,4376.410256,0.000000,0.000000,4295.384615,0.000000,0.000000,0.000000,4273.846154,8197.000000,8232.000000,14.851680,0.000000,0.000000,0.000000,0.000000,
77.000000,4274.358974,0.000000,0.000000,0.000000,4796.923077,0.000000,4377.435897,0.000000,0.000000,4274.871795,0.000000,0.000000,0.000000,4265.128205,8190.000000,8227.000000,14.859496,0.000000,0.000000,0.000000,0.000000,
